"P.11 Você diria que tem medo de...
,,   Não sabe,,0,,0,,,,,1,,0,,0,,,,0,0,1,,,,0
,,NÃO TEM MEDO,,11,14,9,10,8,9,9,18,13,11,10,13,9,12,9,9,15,10,11,11,11,11
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
TER SEU CARRO OU MOTO TOMADO DE ASSALTO?,M3,TEM MEDO,,80,80,81,79,85,85,81,73,74,80,86,77,81,88,87,83,74,82,80,78,77,82
,,   Muito Medo,,66,65,67,62,69,72,67,60,60,67,69,64,67,75,74,69,60,68,69,61,65,67
,,   Pouco Medo,,13,14,13,16,15,13,12,12,13,12,16,13,14,12,11,13,13,14,10,16,11,15
,,   Não sabe,,1,0,1,2,1,1,1,0,1,1,0,1,0,1,2,1,0,1,1,1,1,1
,,NÃO TEM MEDO,,20,20,19,21,15,15,19,27,26,20,14,23,19,12,13,17,26,18,20,22,23,18
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
SE ENVOLVER EM BRIGAS OU AGRESSÕES FÍSICAS COM OUTRAS PESSOAS?,M4,TEM MEDO,,68,65,70,67,70,71,69,64,75,70,59,73,69,65,47,69,66,71,65,68,72,66
,,   Muito Medo,,47,43,50,36,45,43,54,50,63,46,33,56,43,41,32,45,50,49,43,47,55,42
,,   Pouco Medo,,21,23,20,31,25,28,16,14,13,24,26,16,26,24,15,24,16,22,21,20,17,24
,,   Não sabe,,0,,0,,1,,,,,0,,0,,,,0,,,,0,0,
,,NÃO TEM MEDO,,32,35,30,33,30,29,31,36,25,30,41,27,31,35,53,31,34,29,35,32,28,34
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
MORRER ASSASSINADO?,M5,TEM MEDO,,87,84,89,88,92,90,88,78,86,87,86,87,87,85,92,88,83,90,85,87,87,86
,,   Muito Medo,,77,72,81,79,83,79,77,71,80,78,73,79,79,69,77,78,76,83,73,79,81,75
,,   Pouco Medo,,9,12,7,9,8,11,11,7,6,8,14,7,8,16,15,11,7,7,12,8,6,11
,,   Não sabe,,0,,0,,,,,0,,0,,,,,,,0,0,,,,0
,,NÃO TEM MEDO,,13,16,11,12,8,10,12,22,14,13,14,13,13,15,8,12,17,10,15,13,13,14
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
DE SER SEQUESTRADO?,M6,TEM MEDO,,78,73,82,83,79,73,79,76,83,77,74,80,79,75,72,78,77,79,78,77,79,77
,,   Muito Medo,,67,61,72,70,69,64,69,65,74,67,61,70,67,66,66,68,64,69,66,69,70,65
,,   Pouco Medo,,11,11,10,13,11,9,10,11,9,10,13,9,12,9,6,10,12,10,12,7,8,12
,,   Não sabe,,0,,0,,,,0,,0,,,0,,,,0,,,,0,0,
,,NÃO TEM MEDO,,22,27,18,17,21,27,21,24,17,23,26,20,21,25,28,22,23,21,22,23,21,23
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
DE SOFRER SEQUESTRO RELÂMPAGO?,M7,TEM MEDO,,80,75,84,85,82,79,81,75,80,80,80,79,82,78,79,81,78,82,79,78,78,81
,,   Muito Medo,,68,60,74,68,70,68,70,63,71,68,64,68,68,64,74,69,64,70,67,67,69,67
,,   Pouco Medo,,12,15,10,16,12,11,12,12,10,12,15,11,13,15,6,12,14,12,12,11,9,14
,,   Não sabe,,0,,0,,,,,0,,0,,,,,,,0,0,,,,0
,,NÃO TEM MEDO,,20,25,16,15,18,21,19,25,20,20,20,21,18,22,21,19,22,18,21,22,22,19
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
DE SER VÍTIMA DE AGRESSÃO SEXUAL?,M8,TEM MEDO,,74,57,88,80,78,67,74,71,80,75,67,77,76,65,56,73,74,73,72,76,76,72
,,   Muito Medo,,65,46,81,70,70,60,66,61,72,67,56,70,67,53,45,64,66,64,63,68,70,62
,,   Pouco Medo,,8,10,7,10,7,6,8,10,8,7,10,6,8,12,12,9,8,9,8,7,6,10
,,   Não sabe,,0,0,,,1,,,0,,0,,0,,,,0,,,1,,0,0
,,NÃO TEM MEDO,,26,43,12,20,22,33,26,29,20,25,33,23,24,35,44,27,26,27,28,24,24,28
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
SER VÍTIMA DE UMA FRAUDE E PERDER QUANTIA SIGNIFICATIVA DE DINHEIRO?,M9,TEM MEDO,,85,82,87,87,86,84,86,82,85,86,83,85,86,83,79,86,82,86,84,86,86,84
,,   Muito Medo,,67,63,70,64,67,65,68,69,72,69,59,71,68,57,51,67,67,68,66,64,72,64
,,   Pouco Medo,,18,20,16,23,19,19,19,13,13,17,24,14,18,26,28,19,16,18,18,21,13,21
,,   Não sabe,,0,,0,,1,,,,,0,,0,,,,0,,,,0,0,
,,NÃO TEM MEDO,,15,18,13,13,14,16,14,18,15,14,17,15,14,17,21,14,18,14,16,14,14,16
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
RECEBER UMA LIGAÇÃO DE BANDIDOS EXIGINDO DINHEIRO?,M10,TEM MEDO,,69,60,77,61,71,62,76,71,79,71,59,75,70,64,55,69,70,73,69,66,71,68
,,   Muito Medo,,53,44,60,39,51,43,62,60,68,51,41,60,52,42,42,52,53,55,53,49,57,50
,,   Pouco Medo,,17,17,17,23,20,19,14,11,11,19,18,15,18,22,13,17,17,17,16,17,14,18
,,NÃO TEM MEDO,,31,40,23,39,29,38,24,29,21,29,41,25,30,36,45,31,30,27,31,34,29,32
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
"SER VÍTIMA DE VIOLÊNCIA POR PARTE DA POLÍCIA MILITAR, AQUELA QUE EXECUTA O POLICIAMENTO FARDADO E OSTENSIVO NAS RUAS?",M11,TEM MEDO,,70,68,72,72,75,70,74,62,78,70,64,75,72,64,55,72,67,73,66,72,78,66
,,   Muito Medo,,58,57,60,63,66,55,60,50,67,58,50,65,59,48,51,60,55,61,53,61,68,53
,,   Pouco Medo,,12,12,12,10,9,15,13,11,10,11,14,11,12,16,4,12,12,11,12,11,9,13
,,   Não sabe,,0,,0,,1,,0,,0,0,,,0,,,0,0,0,0,,1,
,,NÃO TEM MEDO,,30,32,28,28,25,30,26,38,22,30,36,25,28,36,45,28,33,27,34,28,22,34
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
"SER VÍTIMA DE VIOLÊNCIA POR PARTE DA POLÍCIA CIVIL, AQUELA QUE ATUA INVESTIGANDO CRIMES E REGISTRA OCORRÊNCIA NAS DELEGACIAS?",M12,TEM MEDO,,61,57,65,65,65,55,64,59,70,64,50,70,61,48,53,62,60,62,58,66,71,56
,,   Muito Medo,,48,46,51,50,53,41,52,45,58,50,37,56,49,35,38,48,48,50,44,53,59,42
,,   Pouco Medo,,13,11,14,15,12,14,12,14,12,13,13,14,12,13,15,14,12,12,13,13,12,14
,,NÃO TEM MEDO,,39,43,35,35,35,45,36,41,30,36,50,30,39,52,47,38,40,38,42,34,29,44
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
TER O CELULAR FURTADO OU ROUBADO?,M13,TEM MEDO,,84,79,88,83,89,89,85,74,81,84,86,83,87,80,81,86,78,86,85,81,86,82
,,   Muito Medo,,66,59,71,62,68,70,71,58,65,65,68,65,69,64,68,69,60,70,67,59,68,65
,,   Pouco Medo,,18,19,16,22,22,19,14,15,16,19,18,18,19,15,13,18,18,16,18,22,18,18
,,   Não sabe,,0,,0,,,,0,,0,,,,,,,0,,,,0,,0
,,NÃO TEM MEDO,,16,21,12,17,11,11,15,26,19,16,14,17,13,20,19,14,22,14,15,19,14,18
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
TER OS SEUS CONTEÚDOS PESSOAIS DIVULGADOS NA INTERNET?,M14,TEM MEDO,,77,75,79,74,79,78,79,73,76,79,74,77,79,80,66,79,73,78,76,77,77,77
,,   Muito Medo,,59,53,63,46,60,58,65,60,65,61,50,63,60,59,47,61,53,63,57,57,63,56
,,   Pouco Medo,,18,21,15,28,20,20,14,12,11,18,24,14,19,21,19,17,19,15,19,21,14,20
,,   Não sabe,,0,0,0,,,,,1,,0,,,,,,0,0,0,0,,0,0
,,NÃO TEM MEDO,,23,25,21,26,21,22,21,27,24,21,26,23,21,20,34,21,27,22,24,23,23,23
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
TER PARENTES ENVOLVIDOS COM DROGAS?,M15,TEM MEDO,,69,64,73,70,67,66,75,65,74,70,62,71,75,57,51,69,68,72,65,71,72,67
,,   Muito Medo,,54,49,58,49,47,54,63,53,64,55,43,59,57,42,36,54,53,57,50,57,60,50
,,   Pouco Medo,,15,15,14,21,20,12,12,11,10,15,18,12,17,14,15,14,15,16,15,14,11,16
,,   Não sabe,,0,0,0,,1,,0,0,,0,0,,0,1,,0,0,,,1,1,0
,,NÃO TEM MEDO,,31,36,27,30,33,34,25,35,26,30,38,29,25,43,49,31,32,28,35,29,28,33
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
ANDAR NA VIZINHANÇA DEPOIS DE ANOITECER?,M16,TEM MEDO,,67,58,75,63,70,71,70,62,66,66,70,72,66,63,68,69,64,67,68,66,65,68
,,   Muito Medo,,53,42,63,46,54,52,61,50,54,52,54,57,52,49,51,54,50,52,55,51,52,54
,,   Pouco Medo,,14,16,12,17,16,18,9,13,12,14,16,14,14,14,17,15,13,15,13,15,13,15
,,NÃO TEM MEDO,,33,42,25,37,30,29,30,38,34,34,30,28,34,37,32,31,36,33,32,34,35,32
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
TER FILHO(S) PRESOS INJUSTAMENTE?,M17,TEM MEDO,,76,74,77,73,75,73,82,74,84,76,69,79,80,68,56,76,75,81,67,80,81,73
,,   Muito Medo,,64,60,67,57,62,60,71,65,74,65,53,69,67,51,47,63,65,67,56,67,70,61
,,   Pouco Medo,,12,14,9,15,13,13,11,8,8,11,16,9,12,16,9,13,10,14,10,13,11,12
,,   Não sabe,,0,0,0,1,1,,,1,1,0,,1,,1,,0,1,,1,0,0,0
,,NÃO TEM MEDO,,24,26,23,27,25,27,18,26,16,24,31,21,20,32,44,24,25,19,33,20,19,27
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
"SER ROUBADO, ASSALTADO, FURTADO, EM CASA, NA RUA?",M18,TEM MEDO,,89,84,93,84,93,92,90,85,89,89,90,89,92,87,87,90,86,91,89,87,89,89
,,   Muito Medo,,76,68,83,67,82,82,76,73,78,75,76,75,79,74,76,77,73,77,77,75,77,75
,,   Pouco Medo,,13,17,10,17,11,10,13,13,11,14,13,13,13,12,11,13,13,14,12,12,11,14
,,NÃO TEM MEDO,,11,16,7,16,7,8,10,15,11,11,10,11,8,13,13,10,14,9,11,13,11,11
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
SER ACUSADO DE UM CRIME?,M19,TEM MEDO,,71,70,72,67,73,68,74,71,80,72,61,75,74,63,47,71,71,74,67,74,77,68
,,   Muito Medo,,62,61,63,55,67,54,65,64,77,62,48,69,64,50,44,62,62,64,56,69,70,57
,,   Pouco Medo,,9,9,9,12,5,15,9,6,3,10,13,7,10,12,4,9,9,11,10,6,7,10
,,   Não sabe,,0,0,,,1,,,0,,0,,0,,1,,0,0,,1,,,0
,,NÃO TEM MEDO,,29,30,28,33,27,32,26,29,20,28,39,25,26,37,53,29,29,26,33,26,23,32
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
DE SER VÍTIMA DE AGRESSÃO FÍSICA (EM CASA E NA RUA)?,M20,TEM MEDO,,81,75,86,83,85,78,81,79,85,81,77,85,82,71,81,80,82,83,80,80,83,80
,,   Muito Medo,,65,55,74,63,69,58,68,66,75,65,57,74,67,49,52,64,68,67,64,65,70,63
,,   Pouco Medo,,15,20,11,19,16,19,13,12,10,16,20,11,16,22,29,16,14,16,16,15,14,16
,,   Não sabe,,0,,0,1,,,,,,0,,0,,,,0,,,0,,,0
,,NÃO TEM MEDO,,19,25,14,17,15,22,19,21,15,19,23,15,18,29,19,20,18,17,20,20,17,20
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
"SER ROUBADO OU ASSALTADO EM CASA, NO TRANSPORTE OU NA ESCOLA/TRABALHO?",M21,TEM MEDO,,89,87,91,90,91,93,89,85,87,89,92,88,93,89,87,91,86,92,90,86,89,90
,,   Muito Medo,,77,71,82,74,80,81,77,73,79,77,76,77,80,74,70,78,74,81,75,72,79,76
,,   Pouco Medo,,13,17,9,16,11,12,13,12,9,12,16,11,13,15,17,13,12,10,15,14,10,14
,,NÃO TEM MEDO,,11,13,9,10,9,7,11,15,13,11,8,12,7,11,13,9,14,8,10,14,11,10
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
SER VÍTIMA OU TER UM PARENTE VÍTIMA DE BALA PERDIDA?,M22,TEM MEDO,,92,88,95,94,95,92,91,88,90,92,92,91,93,91,91,93,90,94,91,91,92,92
,,   Muito Medo,,84,78,89,83,89,88,81,81,85,84,83,83,87,78,87,85,82,85,84,84,86,83
,,   Pouco Medo,,8,10,5,11,6,4,9,7,6,8,9,7,6,13,4,8,8,8,7,7,6,9
,,   Não sabe,,0,0,0,,1,,,0,,0,,1,,,,0,,0,0,,,0
,,NÃO TEM MEDO,,8,12,5,6,5,8,9,12,10,8,8,9,7,9,9,7,10,6,9,9,8,8
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
SER FERIDO OU MORTO EM UM ASSALTO OU ROUBO?,M23,TEM MEDO,,92,89,94,96,92,96,91,86,90,91,93,90,93,91,94,93,88,94,90,92,92,91
,,   Muito Medo,,85,80,89,88,87,91,83,79,86,85,84,85,87,79,93,86,82,88,83,84,88,83
,,   Pouco Medo,,7,9,5,8,5,4,8,7,5,6,9,5,7,12,2,7,6,5,7,8,4,8
,,NÃO TEM MEDO,,8,11,6,4,8,4,9,14,10,9,7,10,7,9,6,7,12,6,10,8,8,9
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
SE VER NO MEIO DO FOGO CRUZADO DE UM CONFRONTO ENTRE POLICIAIS E BANDIDOS?,M24,TEM MEDO,,92,88,95,90,95,93,91,89,94,90,92,91,92,90,91,92,91,91,93,92,92,91
,,   Muito Medo,,85,80,90,83,88,87,85,83,89,84,83,87,86,80,89,85,85,85,85,88,85,85
,,   Pouco Medo,,6,8,5,8,6,6,6,6,5,6,8,4,6,11,2,6,6,6,7,4,6,6
,,   Não sabe,,0,0,,,1,,,,,0,,0,,,,0,,,0,,,0
,,NÃO TEM MEDO,,8,12,5,10,5,7,9,11,6,10,8,9,8,10,9,8,9,9,7,8,8,9
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
OUVIR TIROTEIOS PRÓXIMOS A VOCÊ?,M25,TEM MEDO,,79,71,85,68,75,81,83,81,85,76,76,81,79,73,79,79,78,78,80,78,79,79
,,   Muito Medo,,63,53,71,47,60,64,69,67,73,61,56,68,62,51,64,63,63,64,63,63,67,60
,,   Pouco Medo,,16,17,14,21,15,17,14,14,12,15,20,13,16,22,15,16,15,15,17,15,11,18
,,NÃO TEM MEDO,,21,29,15,32,25,19,17,19,15,24,24,19,21,27,21,21,22,22,20,22,21,21
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
"Projeto: PO3955
Base: Total da amostra
Data do campo: 20 a 22/03/2018",,,,,,,,,,,,,,,,,,,,,,,,,
